UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Priya Krishnakumar,@priyakkumar,2020-11-11T21:13:11.000Z,"We have the 
@nithyavraman
 v. 
@davideryu
 MAPS!See where Nithya Raman beat David Ryu in L.A.'s 4th City Council District
Nithya Raman has unseated Los Angeles City Councilman David Ryu in the 4th District. Here’s where she picked up the most votes.
latimes.com",,3,14,37
Ben Welsh,@palewire,2020-11-11T21:13:03.000Z,"Urban planner 
@nithyavraman
 defeated L.A. Councilman 
@davideryu
 last week, making her the first challenger to unseat an incumbent in 17 years.

Where'd she get the votes? 

Check our maps by 
@priyakkumar
 and 
@irisslee
 to find out.See where Nithya Raman beat David Ryu in L.A.'s 4th City Council District
Nithya Raman has unseated Los Angeles City Councilman David Ryu in the 4th District. Here’s where she picked up the most votes.
latimes.com",,,2,1
"Michael Kohlhaas Dot Org
=",@DotKohlhaas,2020-11-11T00:58:51.000Z,".
@davideryu
 is back at work, kids! He's dropping exceedingly consequential motions like to accept $10K from Disney and some no smoking signs in the Hollywood Hills and a TEFRA thing for the Buckley School!",🌞 🧼 🧽 🧹,2,1,9
Dylan Caponi,@DylanCaponi,2020-11-10T20:59:37.000Z,"@gilcedillo
, 
@PaulKrekorian
, 
@BobBlumenfield
, 
@davideryu
, 
@PaulKoretzCD5
, 
@CD6Nury
, 
@MRodCD7
, 
@mhdcd8",,,,1
People's City Council - Los Angeles,@PplsCityCouncil,2020-11-10T17:26:37.000Z,"Item #44 is related to funding Project Homekey. This is generally good and something you should support. Subsection 1 of this creates 536 beds at a cost of around $50.6k per bed. For reference, this is less than 1/3 of what 
@davideryu
 paid per bed for the Gardner St. shelter. ",💅,1,5,31
Chris McKee,@Ragcha,2020-11-10T12:05:35.000Z,"Replying to 
@Greenpeace@SheilaKuehl
 @MayorOfLA
 @davideryu
 Please shut down urban gas and oil wells! And please apply more pressure to landlords to install electric car chargers for renters.",,,,
Jon Regardie,@JonRegardie,2020-11-10T00:38:36.000Z,"Also big numbers in city races. In #CD4: 
@nithyavraman
: 67,709 votes, 52.66%
@davideryu
: 60,863, 47.34%

In #CD10:
@MRTempower
: 54,108 votes, 60.9%
@GraceYooCD10
: 34,733 votes, 39.1%
#CityHall #Election2020",,,,
Beverly Press,@BeverlyPress,2020-11-09T21:40:22.000Z,"“I want to thank Councilmember 
@davideryu
 for his leadership over the last five years. His focus on homelessness and transparent governance are issues that I take to heart. I hope to build on his efforts in City Hall,” 
@nithyavraman
 said.

#la #losangelesRaman wins 4th District election - Park Labrea News/ Beverly Press
Los Angeles City Councilwoman-elect Nithya Raman defeated incumbent David Ryu in the 2020 election for the 4th Council...
beverlypress.com",,,1,3
bob,@toonhound,2020-11-09T21:17:46.000Z,"Replying to 
@daveanthony
 and 
@davideryuis he gonna be interim mayor once Garcetti leaves? 

how does that work? who replaces Garcetti?  I vote for ""empty chair""",,,,
ZocSoom,@EmbraceTheBase,2020-11-09T20:45:45.000Z,"Replying to 
@davideryudont attack the left next time",,,,
