UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
V is for VERITAS,@is_veritas,2020-11-20T19:14:22.000Z,"Replying to 
@LACityCouncilYou can't take away places for the houseless to sleep without providing them safe shelter! You can't. It would be inhuman. The homelessness problem in our city is just going to get worse. Trying to sweep people away isn't the answer!",,,,
’22 and LA races,@BodiesRInfinite,2020-11-20T17:22:35.000Z,"I wish the writers at 
@latimes
 would tell the truth about the ways that 
@MayorOfLA
 and 
@LACityCouncil
 have failed to address the housing crisis, and how their tactic of criminalizing poverty is a dangerous move that reveals and contributes to their alarming bankruptcy of spirit.Los Angeles Times
@latimes
 · Nov 20
Sidewalks are clean around most shelters, which tend to be on major streets or industrial areas separated from residential neighborhoods. But homeless encampments have persisted or even spread around a few, alarming and frightening people who live nearby. https://latimes.com/homeless-housing/story/2020-11-20/garcetti-a-bridge-home-homeless-program-offers-mixed-results…
Show this thread",🧩,,,1
SocialHousing4All,@PeppeyRobert,2020-11-20T16:48:33.000Z,"Replying to 
@PeppeyRobert
 @latimes
 and 4 others2) 
@ericgarcetti
 & 
@LACityCouncil
 (see Huizar)
diverted Billions of public funds & resources to  corporate cronies, building luxury housing, hotels & new corporate office towers, the worst example Garcetti’s failed Parker Center project. https://urbanize.la/post/city-seek-developer-office-tower-parker-center-site…
@PplsCityCouncil",,,1,5
KATRINA #ReImagineLA,@katrinapmat,2020-11-20T16:29:16.000Z,"Multi-family housing - starting immediately w/ high-eviction buildings - should be taken over by a public land trust and/or converted into coops with the support of local and/or federal agencies. 
@MikeBoninLA
 @nithyavraman
 @LACityCouncilLA Tenants Union
@LATenantsUnion
 · Nov 19
Cancel rent.  Abolish landlords.

The idea that we must pay someone each month for shelter, just for existing on this earth, is bullshit.

Feudal capitalism has to go.  All capitalism has to go.

If you’re in LA, join us and let’s build something better.",,,,
Another Adam Smith,@AdamOfTheSmiths,2020-11-20T07:15:03.000Z,"Coming soon:  My public comment for this Tuesday's 
@LACityCouncil
 vote to expand LAMC 41.18 + 56.11.

I can't sing it live because I'll be on the 
@lapdcommission
 meeting Zoom which just so happens to be at the same time. 

#HousekeysNotHandcuffs #LetsGetFree #4aDayInLA",,,2,4
Salud para el pueblo,@ahsoka_13,2020-11-20T06:57:45.000Z,"I also find it disturbing how 
@LACityCouncil
, 
@MayorOfLA
 , LAC supervisors, state & federal government leaves people stranded, with no relief to pay rent, bills, & just keep on pretending that is business as usual. Y'all are straight up neglecting the fundamentals here",🌻,,,
Nathan Sheets,@nathansheets,2020-11-20T05:29:46.000Z,"On Tuesday, the 
@LACityCouncil
 will again discuss the potentially destructive motion to amend city law that would further criminalize homelessness — forcing people to remain farther from the places they seek life-saving services.",,1,2,4
Progressive Neighborhood Council Alliance,@ProgressiveNCA,2020-11-20T03:29:45.000Z,"The 
@atwaternc
, 
@easthollywoodnc
, 
@SilverLakeNC
, and 
@LosFelizNC
 have all passed Community Impact Statements opposing the proposed ordinance before 
@LACityCouncil
 to target unhoused Angelenos by banning sitting or lying down across large swaths of our city.

10 NCs and counting!",,1,5,15
Esperanza Community Housing,@EsperanzaCHC,2020-11-19T23:00:30.000Z,". 
@CityAttorneyLA
 confirmed that “Los Angeles has the authority to require buffer zones around oil and gas wells.” in Tuesday's 
@LACityCouncil
 enviro committee mtg.

The ball is in your court, 
@CD6Nury
. Act now to protect public health. 
@Sammy_RothLos Angeles can restrict oil and gas drilling with buffer zones, city attorney says
But City Council members, worried about fossil fuel industry lawsuits, might not go for it.
latimes.com",,,,
Maya Golden-Krasner,@Maya4EJ,2020-11-19T20:09:08.000Z,".
@CityAttorneyLA
 confirmed that “Los Angeles has the authority to require buffer zones around oil and gas wells.” in Tuesday's 
@LACityCouncil
 enviro committee mtg.

The ball is in your court, 
@CD6Nury
. Act now to protect public health. 
@Sammy_RothLos Angeles can restrict oil and gas drilling with buffer zones, city attorney says
But City Council members, worried about fossil fuel industry lawsuits, might not go for it.
latimes.com",,,2,12
Esperanza Community Housing,@EsperanzaCHC,2020-11-19T20:00:19.000Z,"@Sammy_Roth
 covers the 
@LACityCouncil
 enviro meeting in this week’s #BoilingPoint:

“We have waited over 5 yrs for the City Council and this committee to respond to our concerns for a safety buffer that truly protects our health.” - Wilmington residentLos Angeles can restrict oil and gas drilling with buffer zones, city attorney says
But City Council members, worried about fossil fuel industry lawsuits, might not go for it.
latimes.com",,,,
Thomas Eastman,@Thomas0Eastman,2020-11-19T19:28:27.000Z,"Replying to 
@STAND_LA
 @AdoptaCharger
 and 4 othersSubsidies tied to cleanup and transistions ?",,,,
SocialHousing4All,@PeppeyRobert,2020-11-19T19:07:14.000Z,"Replying to 
@joannaeswan.
@CD6Nury
 President of 
@LACityCouncil
 ?",,,,
Surfrider LA,@SurfriderLA,2020-11-19T19:03:31.000Z,"@Sammy_Roth
 covers the 
@LACityCouncil
 enviro meeting in this week’s #BoilingPoint:

“We have waited over 5 yrs for the City Council and this committee to respond to our concerns for a safety buffer that truly protects our health.” - Wilmington residentLos Angeles can restrict oil and gas drilling with buffer zones, city attorney says
But City Council members, worried about fossil fuel industry lawsuits, might not go for it.
latimes.com",,,,
SocialHousing4All,@PeppeyRobert,2020-11-19T16:13:50.000Z,"Replying to 
@kdeleon
 @RadioJusticeLA
 and 
@SonjaFrancine1)LA needs rectangular shaped districts, including a majority Korean district.
2)Don’t let 
@CD6Nury
 @LACityCouncil
 near proposed map.
3)New City Charter that fixes economic royalist on City Council salaries to LA’s median income ,current $73,000.
4)30 districts. 
@PplsCityCouncil",,,,
Roberta Eidman Needs a New Planet - Suggestions?,@radhika1226,2020-11-19T15:49:56.000Z,"What did you expect? The elected 
@LACityCouncil
 does those things.Kshama Sawant
@cmkshama
 · Nov 18
After months of declaring that Black Lives Matter, every single Democratic City Councilmember voted against the Peoples Budget & my office's proposal to develop legislation to establish an elected community oversight board with full powers over police, including hiring & firing.
Show this thread",,,,
SullivanSaysSoCal,@SullivanSaysSC,2020-11-19T01:24:54.000Z,"Replying to 
@apolti
 @MayorOfLA
 and 5 othersGlad you found it useful. A followup interview just posted, reflecting news from this week's column and a bit more. You can see it here:",,,,
